risk,group,impact,likelihood,category,long_label,description
Asset bubbles,Business,3.450150967,5.166162968,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Expert,3.49425292,5.164751053,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Female,3.392344475,4.990566254,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Male,3.472081184,5.137404442,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Non-Business,3.429718971,4.964143276,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Non-Expert,3.404069662,5.020231247,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Overall,3.429618835,5.070073128,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Senior,3.408247471,5.0636549,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Asset bubbles,Young,3.593220234,5.177966118,Economic,Asset bubbles in a major economy,"Unsustainably overpriced assets such as commodities, housing, shares, etc. in a major economy or region"
Biodiversity loss and ecosystem collapse,Business,3.429429531,4.662686348,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Expert,4.285714149,5.75,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Female,3.7590909,5.130630493,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Male,3.437659025,4.74747467,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Non-Business,3.6968503,5.1361866,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Non-Expert,3.481216431,4.799645424,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Overall,3.526315689,4.82909584,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Senior,3.4323771,4.731707096,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Biodiversity loss and ecosystem collapse,Young,4.024000168,5.484127045,Environmental,Major biodiversity loss and ecosystem collapse (terrestrial or marine),"Irreversible consequences for the environment, resulting in severely depleted resources for humankind as well as industries"
Critical information infrastructure breakdown,Business,3.377245426,4.267062187,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Expert,3.513043404,4.439655304,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Female,3.400900841,4.426009178,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Male,3.400503874,4.306733131,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Non-Business,3.397683382,4.4099617,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Non-Expert,3.373517752,4.327450752,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Overall,3.384397268,4.319268703,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Senior,3.412825584,4.376493931,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Critical information infrastructure breakdown,Young,3.3499999049999998,4.237704754,Technological,Breakdown of critical information infrastructure and networks,"Cyber dependency that increases vulnerability to outage of critical information infrastructure (e.g. internet, satellites, etc.) and networks, causing widespread disruption"
Failure of critical infrastructure,Business,3.264264345,4.336283207,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Expert,3.256705046,4.299242496,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Female,3.409302235,4.592760086,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Male,3.285000086,4.401985168,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Non-Business,3.40234375,4.586872578,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Non-Expert,3.384831429,4.593922615,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Overall,3.319602251,4.459383965,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Senior,3.325153351,4.471774101,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Failure of critical infrastructure,Young,3.341269732,4.4609375,Economic,Failure/shortfall of critical infrastructure,"Failure to adequately invest in, upgrade and/or secure infrastructure networks (e.g. energy, transportation and communications), leading to pressure or a breakdown with system-wide implications"
Cyberattacks,Business,3.466666698,5.642651081,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Expert,3.470588207,5.697478771,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Female,3.613043547,5.462882042,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Male,3.504901886,5.592233181,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Non-Business,3.605263233,5.434456825,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Non-Expert,3.560460567,5.509541988,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Overall,3.539835215,5.513661385,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Senior,3.529411793,5.571150303,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Cyberattacks,Young,3.6015625,5.4453125,Technological,Large-scale cyberattacks,"Large-scale cyberattacks or malware causing large economic damages, geopolitical tensions or widespread loss of trust in the internet"
Data fraud or theft,Business,3.204678297,5.690962315,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Expert,3.222222328,5.854701042,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Female,3.393805265,5.41228056,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Male,3.210784197,5.673965931,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Non-Business,3.335849047,5.468401432,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Non-Expert,3.28709054,5.517175674,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Overall,3.267683744,5.555096626,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Senior,3.245059252,5.592156887,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Data fraud or theft,Young,3.3984375,5.534883499,Technological,Massive incident of data fraud/theft,Wrongful exploitation of private or official data that takes place on an unprecedented scale
Deflation,Business,3.217791319,4.620481968,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Expert,3.163424015,4.507692337,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Female,3.241706133,4.470046043,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Male,3.185566902,4.526717663,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Non-Business,3.160000086,4.364706039,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Non-Expert,3.23546505,4.505681992,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Overall,3.199127913,4.512160301,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Senior,3.192066908,4.479424,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Deflation,Young,3.258333445,4.612903118,Economic,Deflation in a major economy,Prolonged near-zero inflation or deflation in a major economy or region
Energy price shock,Business,3.287009001,4.611940384,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Expert,3.279527664,4.53515625,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Female,3.533632278,4.884955883,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Male,3.252577305,4.520408154,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Non-Business,3.415019751,4.6640625,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Non-Expert,3.409470797,4.741758347,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Overall,3.329529285,4.632248878,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Senior,3.275720119,4.53564167,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Energy price shock,Young,3.664000034,5.110236168,Economic,Severe energy price shock (increase or decrease),Significant energy price increases or decreases that place further economic pressures on highly energy-dependent industries and consumers
Failure of climate-change mitigation and adaptation,Business,3.574779987,5.198250771,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Expert,4.155172348,5.413793087,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Female,3.857777834,5.361233711,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Male,3.618811846,5.147783279,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Non-Business,3.847908735,5.218867779,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Non-Expert,3.65968585,5.20450592,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Overall,3.668061256,5.180055618,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Senior,3.634920597,5.203960419,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of climate-change mitigation and adaptation,Young,3.983999968,5.3046875,Environmental,Failure of climate-change mitigation and adaptation,"The failure of governments and businesses to enforce or enact effective measures to mitigate climate change, protect populations and help businesses impacted by climate change to adapt"
Failure of urban planning,Business,2.8571429249999998,4.707831383,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Expert,3.27131772,5.0,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Female,3.141509533,4.772092819,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Male,2.94458437,4.809523582,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Non-Business,3.18359375,4.872093201,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Non-Expert,2.948132753,4.743326664,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Overall,2.992836714,4.731152058,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Senior,2.950413227,4.726899147,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of urban planning,Young,3.256000042,5.062992096,Societal,Failure of urban planning,"Poorly planned cities, urban sprawl and associated infrastructure that create social, environmental and health challenges"
Failure of financial mechanism or institution,Business,3.441441536,4.645833492,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Expert,3.438461542,4.651340961,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Female,3.532407522,4.627272606,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Male,3.454545498,4.728643417,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Non-Business,3.515748024,4.729411602,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Non-Expert,3.511299372,4.718662739,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Overall,3.4800000190000002,4.673267365,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Senior,3.457905531,4.678861618,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Failure of financial mechanism or institution,Young,3.575999975,4.746031761,Economic,Failure of a major financial mechanism or institution,Collapse of a financial institution and/or malfunctioning of a financial system that impacts the global economy
Fiscal crises,Business,3.508875847,4.81764698,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Expert,3.540229797,4.858778477,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Female,3.599078417,4.908675671,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Male,3.532338381,4.851116657,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Non-Business,3.623529434,4.921875,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Non-Expert,3.565459728,4.878116131,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Overall,3.546610117,4.869198322,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Senior,3.532388687,4.844758034,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Fiscal crises,Young,3.648000002,4.976190567,Economic,Fiscal crises in key economies,Excessive debt burdens that generate sovereign debt crises and/or liquidity crises
Food crises,Business,3.483775854,4.626470566,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Expert,3.819548845,5.225564003,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Female,3.784753323,5.080357075,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Male,3.537897348,4.711491585,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Non-Business,3.768656731,5.074626923,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Non-Expert,3.57085824,4.737051964,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Overall,3.595303774,4.783448219,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Senior,3.537848711,4.755467415,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Food crises,Young,3.961538553,5.176923275,Societal,Food crises,"Inadequate, unaffordable, or unreliable access to appropriate quantities and quality of food and nutrition on a major scale"
Illicit trade,Business,2.970501423,5.419825077,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Expert,3.057034254,5.405303001,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Female,3.383928537,5.44933939,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Male,3.007389069,5.486486435,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Non-Business,3.354717016,5.539622784,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Non-Expert,3.203252077,5.518817425,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Overall,3.143254519,5.462707043,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Senior,3.073558569,5.433663368,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Illicit trade,Young,3.409448862,5.627906799,Economic,"Illicit trade (e.g. illicit financial flows, tax evasion, human trafficking, organized crime, etc.)","Large-scale activities outside the legal framework such as illicit financial flows, tax evasion, human trafficking, counterfeiting and/or organized crime that undermine social interactions, regional or international collaboration, and global growth"
Spread of infectious diseases,Business,3.57058835,4.266862392,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Expert,3.704545498,4.639097691,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Female,3.677129984,4.546666622,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Male,3.504926205,4.257985115,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Non-Business,3.581748962,4.486792564,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Non-Expert,3.529058218,4.285429001,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Overall,3.563814878,4.32311964,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Senior,3.518962145,4.363095284,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Spread of infectious diseases,Young,3.75,4.3515625,Societal,Rapid and massive spread of infectious diseases,"Bacteria, viruses, parasites or fungi that cause uncontrolled spread of infectious diseases (for instance as a result of resistance to antibiotics, antivirals and other treatments) leading to widespread fatalities and economic disruption"
Unmanageable inflation,Business,3.151057482,3.508928537,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Unmanageable inflation,Expert,3.078125,3.463320494,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Unmanageable inflation,Female,3.308823586,3.966183662,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Unmanageable inflation,Male,3.088832378,3.5,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
