risk,group,impact,likelihood,category,long_label,description
Unmanageable inflation,Non-Business,3.153527021,3.802469254,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Unmanageable inflation,Non-Expert,3.224489689,3.804034472,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Unmanageable inflation,Overall,3.124087572,3.61127162,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Unmanageable inflation,Senior,3.05660367,3.49689436,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Unmanageable inflation,Young,3.586776972,4.303278923,Economic,Unmanageable inflation,Unmanageable increases in the general price levels of goods and services in key economies
Interstate conflict,Business,3.540935755,5.1842103,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Expert,3.808823586,5.382352829,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Female,3.702702761,5.417040348,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Male,3.573170662,5.148418427,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Non-Business,3.684410572,5.301886559,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Non-Expert,3.592920303,5.225749493,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Overall,3.587988853,5.186369896,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Senior,3.578217745,5.25049305,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Interstate conflict,Young,3.779527664,5.212598324,Geopolitical,Interstate conflict with regional consequences,"A bilateral or multilateral dispute between states that escalates into economic (e.g. trade/currency wars, resource nationalization), military, cyber, societal or other conflict."
Man-made environmental disasters,Business,3.442815304,5.299120426,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Expert,3.948275805,5.672413826,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Female,3.785714388,5.548672676,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Male,3.423645258,5.208845139,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Non-Business,3.656488657,5.328301907,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Non-Expert,3.510452986,5.29116106,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Overall,3.526315689,5.288275719,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Senior,3.441117764,5.222663879,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Man-made environmental disasters,Young,3.984496117,5.746153831,Environmental,"Man-made environmental damage and disasters (e.g. oil spills, radioactive contamination, etc.)","Failure to prevent major man-made damage and disasters, including environmental crime, causing harm to human lives and health, infrastructure, property, economic activity and the environment"
Large-scale involuntary migration,Business,3.592261791,5.614925385,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Expert,3.744360924,5.80451107,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Female,3.762331724,5.723214149,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Male,3.619164705,5.656019688,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Non-Business,3.75555563,5.727941036,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Non-Expert,3.649298668,5.644000053,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Overall,3.6500000950000002,5.636615753,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Senior,3.651394367,5.677932262,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Large-scale involuntary migration,Young,3.7421875,5.6875,Societal,Large-scale involuntary migration,"Large-scale involuntary migration induced by conflict, disasters, environmental or economic reasons"
Failure of national governance,Business,3.430678368,5.141176701,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Expert,3.647058725,5.470588207,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Female,3.632287025,5.352678776,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Male,3.46305418,5.144963264,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Non-Business,3.639097691,5.303370953,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Non-Expert,3.509769201,5.191150665,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Overall,3.506276131,5.183588505,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Senior,3.477137089,5.168316841,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Failure of national governance,Young,3.706349134,5.420634747,Geopolitical,"Failure of national governance (e.g. failure of rule of law, corruption, political deadlock, etc.)","Inability to govern a nation of geopolitical importance as a result of weak rule of law, corruption or political deadlock."
Natural disasters,Business,3.67975831,5.618618488,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Expert,4.035087585,5.666666508,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Female,3.942222118,5.825892925,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Male,3.685138464,5.525000095,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Non-Business,3.88257575,5.666666508,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Non-Expert,3.751322746,5.629173756,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Overall,3.771509171,5.610955238,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Senior,3.698989868,5.587525368,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Natural disasters,Young,4.086614132,5.811023712,Environmental,"Major natural disasters (e.g. earthquake, tsunami, volcanic eruption, geomagnetic storms)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by geophysical disasters such as earthquakes, volcanic activity, landslides, tsunamis, or geomagnetic storms"
Failure of regional or global governance,Business,3.345132828,4.72647047,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Expert,3.567164183,5.205882549,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Female,3.504464388,4.920704842,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Male,3.358722448,4.727941036,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Non-Business,3.483145952,4.8629632,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Non-Expert,3.392226219,4.748682022,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Overall,3.396121979,4.767217636,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Senior,3.388118744,4.744094372,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Failure of regional or global governance,Young,3.5,5.007874012,Geopolitical,Failure of regional or global governance,"Inability of regional or global institutions to resolve issues of economic, geopolitical or environmental importance"
Profound social instability,Business,3.375375271,4.802395344,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Expert,3.618320704,5.167938709,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Female,3.55045867,5.073059559,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Male,3.409429312,4.831683159,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Non-Business,3.522727251,5.01886797,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Non-Expert,3.418699265,4.84817791,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Overall,3.428973198,4.848527431,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Senior,3.433467627,4.847389698,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
Profound social instability,Young,3.5599999430000002,5.191999912,Societal,Profound social instability,"Major social movements or protests (e.g. street riots, social unrest, etc.) that disrupt political or social stability, negatively impacting populations and economic activity"
State collapse or crisis,Business,3.329376936,5.041419983,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Expert,3.641791105,5.382352829,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Female,3.5599999430000002,5.140969276,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Male,3.353960514,4.967980385,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Non-Business,3.546816587,5.025926113,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Non-Expert,3.400709152,4.985890865,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Overall,3.408901215,5.012448311,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Senior,3.373757362,5.027722836,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
State collapse or crisis,Young,3.6428570750000002,5.0390625,Geopolitical,"State collapse or crisis (e.g. civil conflict, military coup, failed states, etc.)","State collapse of geopolitical importance due to internal violence, regional or global instability, military coup, civil conflict, failed states, etc."
Adverse consequences of technological advances,Business,2.922619104,4.2485380169999996,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Expert,2.906779766,4.218487263,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Female,3.02314806,4.572727203,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Male,2.9472363,4.281481266,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Non-Business,3.019762754,4.503875732,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Non-Expert,2.989959955,4.425196648,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Overall,2.958571434,4.350631237,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Senior,2.955555439,4.298210621,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Adverse consequences of technological advances,Young,3.050420284,4.737704754,Technological,Adverse consequences of technological advances,"Intended or unintended adverse consequences of technological advances such as artificial intelligence, geo-engineering and synthetic biology causing human, environmental and economic damage"
Terrorist attacks,Business,3.502941132,5.599999905,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Expert,3.676470518,5.955882549,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Female,3.833333254,5.676856041,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Male,3.457002401,5.535626411,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Non-Business,3.694029808,5.565055847,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Non-Expert,3.58172226,5.540350914,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Overall,3.592541456,5.585399628,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Senior,3.532673359,5.568047523,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Terrorist attacks,Young,3.823076963,5.658914566,Geopolitical,Large-scale terrorist attacks,Individuals or non-state groups with political or religious goals that successfully inflict large-scale human or material damage.
Unemployment or underemployment,Business,3.497058868,4.953352928,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Expert,3.516981125,5.030075073,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Female,3.621621609,5.097345352,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Male,3.559113264,5.073709965,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Non-Business,3.670498133,5.212927818,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Non-Expert,3.630136967,5.121951103,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Overall,3.576601744,5.058091164,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Senior,3.5059762,4.988118649,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Unemployment or underemployment,Young,3.880952358,5.453125,Economic,High structural unemployment or underemployment,A sustained high level of unemployment or underutilization of the productive capacity of the employed population
Water crises,Business,3.73156333,4.844574928,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Expert,4.04511261,5.29850769,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Female,4.071111202,5.264317036,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Male,3.665024519,4.825980186,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Non-Business,3.891385794,5.100371838,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Non-Expert,3.747999907,4.898608208,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Overall,3.772222281,4.930939198,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Senior,3.735059738,4.914851665,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Water crises,Young,4.100775242,5.246153831,Societal,Water crises,"A significant decline in the available quality and quantity of fresh water, resulting in harmful effects on human health and/or economic activity"
Extreme weather events,Business,3.730205297,5.923753738,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Expert,4.220338821,6.372881413,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Female,4.026906013,6.130044937,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Male,3.724815607,5.793612003,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Non-Business,3.939163446,5.908745289,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Non-Expert,3.792321205,5.867364883,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Overall,3.819694757,5.883495331,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Senior,3.757936478,5.863095284,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Extreme weather events,Young,4.126984119,6.111111164,Environmental,"Extreme weather events (e.g. floods, storms, etc.)","Major property, infrastructure and/or environmental damage as well as loss of human life caused by extreme weather events"
Weapons of mass destruction,Business,3.960725069,3.724035501,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Expert,4.0,4.109375,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Female,4.093896866,4.227907181,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Male,3.868354321,3.683291674,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Non-Business,3.928286791,4.039525509,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Non-Expert,3.943119287,3.844484568,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Overall,3.927745581,3.859375,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Senior,3.92592597,3.829959631,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
Weapons of mass destruction,Young,4.032786846,4.049180508,Geopolitical,Weapons of mass destruction,"The deployment of nuclear, chemical, biological and radiological technologies and materials, creating international crises and potential for significant destruction"
